Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3309509106,00000120,false,Rx,1,8,00,00,80,00,02,00,00,2A
3309510063,00000125,false,Rx,1,6,00,00,00,00,00,10,00,00
3309511173,00000165,false,Rx,1,8,02,4A,00,00,00,00,00,66
3309513083,00000130,false,Rx,1,7,80,00,00,00,40,00,BC,00
3309515101,00000130,false,Rx,1,7,80,00,00,00,40,01,A1,00
3309518122,00000120,false,Rx,1,8,00,25,80,00,00,00,01,5F
3309520068,00000125,false,Rx,1,6,00,00,00,00,01,0D,00,00
3309521170,00000165,false,Rx,1,8,01,EA,00,00,00,00,01,14
3309525092,00000130,false,Rx,1,7,80,00,00,00,60,02,F3,00
3309528119,00000120,false,Rx,1,8,01,25,84,B0,00,00,02,CA
3309530058,00000125,false,Rx,1,6,00,00,00,05,02,4B,00,00
3309531160,00000165,false,Rx,1,8,01,EB,00,00,00,00,02,75
3309535099,00000130,false,Rx,1,7,80,00,00,00,60,03,EE,00
3309538117,00000120,false,Rx,1,8,01,25,84,B0,00,00,03,D7
3309540063,00000125,false,Rx,1,6,00,00,00,05,03,56,00,00
3309541165,00000165,false,Rx,1,8,01,ED,00,00,00,00,03,E1
3309545088,00000130,false,Rx,1,7,80,00,00,00,60,04,BD,00
3309548123,00000120,false,Rx,1,8,01,25,84,B0,00,00,04,84
3309550068,00000125,false,Rx,1,6,00,00,00,05,04,05,00,00
3309551162,00000165,false,Rx,1,8,01,ED,00,00,00,00,04,B2
3309555093,00000130,false,Rx,1,7,80,00,00,00,60,05,A0,00
3309557334,00000135,false,Rx,1,8,08,00,70,00,00,00,00,01
3309558120,00000120,false,Rx,1,8,01,04,84,B0,00,00,05,F7
3309560066,00000125,false,Rx,1,6,00,00,00,05,05,18,00,00
3309561162,00000165,false,Rx,1,8,01,EE,00,00,00,00,05,65
3309565085,00000130,false,Rx,1,7,80,00,01,32,60,06,31,00
3309568120,00000120,false,Rx,1,8,01,04,84,B0,00,00,06,D0
3309570074,00000125,false,Rx,1,6,00,00,00,05,06,3F,00,00
3309571168,00000165,false,Rx,1,8,01,EF,00,00,00,00,06,04
3309575091,00000130,false,Rx,1,7,80,00,01,34,60,07,29,00
3309578125,00000120,false,Rx,1,8,01,04,84,B0,00,00,07,CD
3309580063,00000125,false,Rx,1,6,00,00,00,05,07,22,00,00
3309581173,00000165,false,Rx,1,8,01,EF,00,00,00,00,07,19
3309585089,00000130,false,Rx,1,7,80,00,01,35,60,08,1D,00
3309588122,00000120,false,Rx,1,8,01,04,84,B0,00,00,08,76
3309590068,00000125,false,Rx,1,6,00,00,00,05,08,99,00,00
3309591162,00000165,false,Rx,1,8,01,F0,00,00,00,00,08,73
3309595102,00000130,false,Rx,1,7,80,00,01,37,60,09,03,00
3309598120,00000120,false,Rx,1,8,01,04,84,B0,00,00,09,6B
3309600066,00000125,false,Rx,1,6,00,00,00,05,09,84,00,00
3309601168,00000165,false,Rx,1,8,01,F1,00,00,00,00,09,28
3309605092,00000130,false,Rx,1,7,80,00,01,38,60,0A,A2,00
3309608117,00000120,false,Rx,1,8,01,04,84,B0,00,00,0A,4C
3309610063,00000125,false,Rx,1,6,00,00,00,05,0A,A3,00,00
3309611165,00000165,false,Rx,1,8,01,F1,00,00,00,00,0A,0F
3309615094,00000130,false,Rx,1,7,80,00,01,39,60,0B,30,00
3309618121,00000120,false,Rx,1,8,01,04,84,B0,00,00,0B,51
3309620066,00000125,false,Rx,1,6,00,00,00,05,0B,BE,00,00
3309621167,00000165,false,Rx,1,8,01,F1,00,00,00,00,0B,12
3309625091,00000130,false,Rx,1,7,80,00,01,3A,60,0C,EF,00
3309628125,00000120,false,Rx,1,8,01,04,84,B0,00,00,0C,02
3309630070,00000125,false,Rx,1,6,00,00,00,05,0C,ED,00,00
3309631165,00000165,false,Rx,1,8,01,F2,00,00,00,00,0C,8B
3309635095,00000130,false,Rx,1,7,80,00,01,3B,60,0D,7D,00
3309638123,00000120,false,Rx,1,8,01,04,84,B0,00,00,0D,1F
3309640068,00000125,false,Rx,1,6,00,00,00,05,0D,F0,00,00
3309641171,00000165,false,Rx,1,8,01,F2,00,00,00,00,0D,96
3309645093,00000130,false,Rx,1,7,80,00,01,3D,60,0E,5F,00
3309648120,00000120,false,Rx,1,8,01,04,84,B0,00,00,0E,38
3309650065,00000125,false,Rx,1,6,00,00,00,05,0E,D7,00,00
3309651168,00000165,false,Rx,1,8,01,F2,00,00,00,00,0E,B1
3309655090,00000130,false,Rx,1,7,80,00,01,3C,60,0F,CD,00
3309657337,00000135,false,Rx,1,8,08,00,70,00,00,00,00,02
3309658124,00000120,false,Rx,1,8,01,04,84,B0,00,00,0F,25
3309660068,00000125,false,Rx,1,6,00,00,00,05,0F,CA,00,00
3309661166,00000165,false,Rx,1,8,01,F3,00,00,00,00,0F,EA
3309665098,00000130,false,Rx,1,7,80,00,01,3D,60,00,F9,00
3309668124,00000120,false,Rx,1,8,01,04,84,B0,00,00,00,9E
3309670069,00000125,false,Rx,1,6,00,00,00,05,00,71,00,00
3309671164,00000165,false,Rx,1,8,01,F3,00,00,00,00,00,51
3309675094,00000130,false,Rx,1,7,80,00,01,3C,60,01,6B,00
3309678129,00000120,false,Rx,1,8,01,04,84,B0,00,00,01,83
3309680075,00000125,false,Rx,1,6,00,00,00,05,01,6C,00,00
3309681163,00000165,false,Rx,1,8,01,F3,00,00,00,00,01,4C
3309685094,00000130,false,Rx,1,7,80,00,01,3D,60,02,C3,00
3309688128,00000120,false,Rx,1,8,01,04,84,B0,00,00,02,A4
3309690072,00000125,false,Rx,1,6,00,00,00,05,02,4B,00,00
3309691168,00000165,false,Rx,1,8,01,F3,00,00,00,00,02,6B
3309695098,00000130,false,Rx,1,7,80,00,01,3D,60,03,DE,00
3309698125,00000120,false,Rx,1,8,01,04,84,B0,00,00,03,B9
3309700070,00000125,false,Rx,1,6,00,00,00,05,03,56,00,00
3309701166,00000165,false,Rx,1,8,01,F3,00,00,00,00,03,76
3309705097,00000130,false,Rx,1,7,80,00,01,3F,60,04,8E,00
3309708132,00000120,false,Rx,1,8,01,04,84,B0,00,00,04,EA
3309710076,00000125,false,Rx,1,6,00,00,00,05,04,05,00,00
3309711164,00000165,false,Rx,1,8,01,F3,00,00,00,00,04,25
3309715102,00000130,false,Rx,1,7,80,00,01,3E,60,05,1C,00
3309718129,00000120,false,Rx,1,8,02,04,84,B0,00,00,05,10
3309720074,00000125,false,Rx,1,6,00,00,00,05,05,18,00,00
3309721169,00000165,false,Rx,1,8,01,F3,00,00,00,00,05,38
3309725100,00000130,false,Rx,1,7,80,00,01,3F,60,06,B4,00
3309728121,00000120,false,Rx,1,8,02,04,84,B0,00,00,06,37
3309730073,00000125,false,Rx,1,6,00,00,00,05,06,3F,00,00
3309731169,00000165,false,Rx,1,8,01,F3,00,00,00,00,06,1F
3309735100,00000130,false,Rx,1,7,80,00,01,3E,60,07,26,00
3309738126,00000120,false,Rx,1,8,02,04,84,B0,00,00,07,2A
3309740071,00000125,false,Rx,1,6,00,00,00,05,07,22,00,00
3309741174,00000165,false,Rx,1,8,01,F3,00,00,00,00,07,02
3309745097,00000130,false,Rx,1,7,80,00,01,3F,60,08,12,00
3309748124,00000120,false,Rx,1,8,02,04,84,B0,00,00,08,91
3309750069,00000125,false,Rx,1,6,00,00,00,05,08,99,00,00
3309751172,00000165,false,Rx,1,8,01,F4,00,00,00,00,08,76
3309755094,00000130,false,Rx,1,7,80,00,01,41,60,09,4E,00
3309757342,00000135,false,Rx,1,8,08,00,70,00,00,00,00,02
3309758129,00000120,false,Rx,1,8,02,04,84,B0,00,00,09,8C
3309760073,00000125,false,Rx,1,6,00,00,00,05,09,84,00,00
3309761171,00000165,false,Rx,1,8,01,F4,00,00,00,00,09,6B
3309765101,00000130,false,Rx,1,7,80,00,01,41,60,0A,69,00
3309768129,00000120,false,Rx,1,8,02,04,84,B0,00,00,0A,AB
3309770073,00000125,false,Rx,1,6,00,00,00,05,0A,A3,00,00
3309771169,00000165,false,Rx,1,8,01,F4,00,00,00,00,0A,4C
3309775100,00000130,false,Rx,1,7,80,00,01,41,60,0B,74,00
3309778126,00000120,false,Rx,1,8,02,04,84,B0,00,00,0B,B6
3309780071,00000125,false,Rx,1,6,00,00,00,05,0B,BE,00,00
3309781166,00000165,false,Rx,1,8,01,F4,00,00,00,00,0B,51
3309785098,00000130,false,Rx,1,7,80,00,01,41,60,0C,27,00
3309788125,00000120,false,Rx,1,8,02,04,84,B0,00,00,0C,E5
3309790078,00000125,false,Rx,1,6,00,00,00,05,0C,ED,00,00
3309791166,00000165,false,Rx,1,8,01,F3,00,00,00,00,0C,CD
3309795105,00000130,false,Rx,1,7,80,00,01,41,60,0D,3A,00
3309797345,00000145,false,Rx,1,8,00,00,40,05,54,00,00,00
3309798132,00000120,false,Rx,1,8,02,04,84,B0,00,00,0D,F8
3309800076,00000125,false,Rx,1,6,00,00,00,05,0D,F0,00,00
3309801174,00000165,false,Rx,1,8,01,F3,00,00,00,00,0D,D0
3309805105,00000130,false,Rx,1,7,80,00,01,41,60,0E,1D,00
3309808123,00000120,false,Rx,1,8,02,04,84,B0,00,00,0E,DF
3309810070,00000125,false,Rx,1,6,00,00,00,05,0E,D7,00,00
3309811166,00000165,false,Rx,1,8,01,F4,00,00,00,00,0E,38
3309815105,00000130,false,Rx,1,7,80,00,01,41,60,0F,00,00
3309818131,00000120,false,Rx,1,8,02,04,84,B0,00,00,0F,C2
3309820078,00000125,false,Rx,1,6,00,00,00,05,0F,CA,00,00
3309821174,00000165,false,Rx,1,8,01,F3,00,00,00,00,0F,EA
3309825104,00000130,false,Rx,1,7,80,00,01,42,60,00,37,00
3309826917,00000110,false,Rx,1,5,91,00,00,01,C9,00,00,00
3309827147,00000115,false,Rx,1,7,80,00,80,00,00,01,7E,00
3309828127,00000120,false,Rx,1,8,02,04,84,B0,00,00,00,79
3309830074,00000125,false,Rx,1,6,00,00,00,05,00,71,00,00
3309831177,00000165,false,Rx,1,8,01,F4,00,00,00,00,00,9E
3309835108,00000130,false,Rx,1,7,80,00,01,41,60,01,A6,00
3309836954,00000110,false,Rx,1,5,91,00,00,02,EE,00,00,00
3309837170,00000115,false,Rx,1,7,80,00,80,00,00,02,59,00
3309838136,00000120,false,Rx,1,8,02,04,84,B0,00,00,01,64
3309840074,00000125,false,Rx,1,6,00,00,00,05,01,6C,00,00
3309841178,00000165,false,Rx,1,8,01,F4,00,00,00,00,01,83
3309845101,00000130,false,Rx,1,7,80,00,01,41,90,02,63,00
3309846961,00000110,false,Rx,1,5,91,00,00,03,F3,00,00,00
3309847182,00000115,false,Rx,1,7,80,00,80,00,00,03,44,00
3309848125,00000120,false,Rx,1,8,02,04,84,B0,00,00,02,43
3309850074,00000125,false,Rx,1,6,00,00,00,05,02,4B,00,00
3309851175,00000165,false,Rx,1,8,01,F4,00,00,00,00,02,A4
3309855108,00000130,false,Rx,1,7,80,00,01,41,90,03,7E,00
3309856986,00000110,false,Rx,1,5,91,00,00,04,A0,00,00,00
3309857207,00000115,false,Rx,1,7,80,00,80,00,00,04,17,00
3309857461,00000135,false,Rx,1,8,08,00,70,00,00,00,00,01
3309858133,00000120,false,Rx,1,8,02,04,84,B0,00,00,03,5E
3309860076,00000125,false,Rx,1,6,00,00,00,05,03,56,00,00
3309861179,00000165,false,Rx,1,8,01,F4,00,00,00,00,03,B9
3309865103,00000130,false,Rx,1,7,80,00,01,42,90,04,A1,00
3309866995,00000110,false,Rx,1,5,91,00,00,05,BD,00,00,00
3309867216,00000115,false,Rx,1,7,80,00,80,00,00,05,0A,00
3309868135,00000120,false,Rx,1,8,02,04,84,B0,00,00,04,0D
3309870083,00000125,false,Rx,1,6,00,00,00,05,04,05,00,00
3309871177,00000165,false,Rx,1,8,01,F4,00,00,00,00,04,EA
3309875100,00000130,false,Rx,1,7,80,00,01,42,90,05,BC,00
3309877014,00000110,false,Rx,1,5,91,00,00,06,9A,00,00,00
3309877243,00000115,false,Rx,1,7,80,00,80,00,00,06,2D,00
3309878139,00000120,false,Rx,1,8,02,04,84,B0,00,00,05,10
3309880079,00000125,false,Rx,1,6,00,00,00,05,05,18,00,00
3309881183,00000165,false,Rx,1,8,01,F4,00,00,00,00,05,F7
3309885099,00000130,false,Rx,1,7,80,00,01,42,90,06,9B,00
3309887021,00000110,false,Rx,1,5,91,00,00,07,87,00,00,00
3309887250,00000115,false,Rx,1,7,80,00,80,00,00,07,30,00
3309888130,00000120,false,Rx,1,8,02,04,84,B0,00,00,06,37
3309890079,00000125,false,Rx,1,6,00,00,00,05,06,3F,00,00
3309891180,00000165,false,Rx,1,8,01,F4,00,00,00,00,06,D0
3309895111,00000130,false,Rx,1,7,80,00,01,42,90,07,86,00
3309897064,00000110,false,Rx,1,5,91,00,00,08,3C,00,00,00
3309897285,00000115,false,Rx,1,7,80,00,80,00,00,08,8B,00
3309898135,00000120,false,Rx,1,8,00,04,84,B0,00,00,07,90
3309900083,00000125,false,Rx,1,6,00,00,00,05,07,22,00,00
3309901179,00000165,false,Rx,1,8,01,F4,00,00,00,00,07,CD
3309905111,00000130,false,Rx,1,7,80,00,01,42,90,08,3D,00
3309907057,00000110,false,Rx,1,5,91,00,00,09,21,00,00,00
