Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3128430785,120,FALSE,Rx,0,8,0,0,80,0,2,0,0,2A
3128431741,125,FALSE,Rx,0,6,0,0,0,0,0,10,0,0
3128432860,165,FALSE,Rx,0,8,2,4A,0,0,0,0,0,66
3128434776,130,FALSE,Rx,0,7,80,0,0,0,40,0,BC,0
3128436779,130,FALSE,Rx,0,7,80,0,0,0,40,1,A1,0
3128439798,120,FALSE,Rx,0,8,0,25,80,0,0,0,1,5F
3128441742,125,FALSE,Rx,0,6,0,0,0,0,1,0D,0,0
3128442861,165,FALSE,Rx,0,8,1,EA,0,0,0,0,1,14
3128446776,130,FALSE,Rx,0,7,80,0,0,0,60,2,F3,0
3128449795,120,FALSE,Rx,0,8,1,25,84,B0,0,0,2,CA
3128451740,125,FALSE,Rx,0,6,0,0,0,5,2,4B,0,0
3128452844,165,FALSE,Rx,0,8,1,EB,0,0,0,0,2,75
3128456774,130,FALSE,Rx,0,7,80,0,0,0,60,3,EE,0
3128459794,120,FALSE,Rx,0,8,1,25,84,B0,0,0,3,D7
3128461740,125,FALSE,Rx,0,6,0,0,0,5,3,56,0,0
3128462844,165,FALSE,Rx,0,8,1,ED,0,0,0,0,3,E1
3128466768,130,FALSE,Rx,0,7,80,0,0,0,60,4,BD,0
3128469803,120,FALSE,Rx,0,8,1,25,84,B0,0,0,4,84
3128471748,125,FALSE,Rx,0,6,0,0,0,5,4,5,0,0
3128472844,165,FALSE,Rx,0,8,1,ED,0,0,0,0,4,B2
3128476768,130,FALSE,Rx,0,7,80,0,0,0,60,5,A0,0
3128479010,135,FALSE,Rx,0,8,8,0,6F,0,0,0,0,1
3128479803,120,FALSE,Rx,0,8,1,4,84,B0,0,0,5,F7
3128481742,125,FALSE,Rx,0,6,0,0,0,5,5,18,0,0
3128482839,165,FALSE,Rx,0,8,1,EE,0,0,0,0,5,65
3128486764,130,FALSE,Rx,0,7,80,0,1,32,60,6,31,0
3128489799,120,FALSE,Rx,0,8,1,4,84,B0,0,0,6,D0
3128491747,125,FALSE,Rx,0,6,0,0,0,5,6,3F,0,0
3128492841,165,FALSE,Rx,0,8,1,EF,0,0,0,0,6,4
3128496765,130,FALSE,Rx,0,7,80,0,1,34,60,7,29,0
3128499800,120,FALSE,Rx,0,8,1,4,84,B0,0,0,7,CD
3128501739,125,FALSE,Rx,0,6,0,0,0,5,7,22,0,0
